id,text,category,style
1,"Спасибо за быструю доставку и качественный товар!","отзыв","Позитивный"
2,"Товар пришёл с повреждениями. Разочарован.","жалоба","Негативный"
3,"Заказал вчера, сегодня уже получил.","отзыв","Нейтральный"
4,"Не могу дозвониться в поддержку уже неделю.","обращение","Негативный"
5,"Инструкция на упаковке не соответствует содержимому.","жалоба","Негативный"
6,"Всё работает как описано. Рекомендую.","отзыв","Позитивный"
7,"Прошу уточнить сроки возврата денежных средств.","обращение","Нейтральный"
8,"Ужасный сервис. Больше не куплю.","жалоба","Негативный"
9,"Товар соответствует описанию.","отзыв","Нейтральный"
10,"Нужна консультация по гарантии.","обращение","Нейтральный"
11,"Отличный товар! Уже третий раз покупаю.","отзыв","Позитивный"
12,"Заказ задержали на 10 дней без объяснений.","жалоба","Негативный"
13,"Доставка вовремя, упаковка целая.","отзыв","Нейтральный"
14,"Как подключить услугу «Антиопределитель»?","обращение","Нейтральный"
15,"На сайте цена одна, в чеке — другая.","жалоба","Негативный"
16,"Спасибо менеджеру Анне за помощь!","отзыв","Позитивный"
17,"Посылка потеряна. Ответа от службы поддержки нет.","жалоба","Негативный"
18,"Курьер вежливый, привёз вовремя.","отзыв","Позитивный"
19,"Где посмотреть историю заказов?","обращение","Нейтральный"
20,"Товар оказался не того цвета, что на фото.","жалоба","Негативный"
21,"Хорошее соотношение цена/качество.","отзыв","Позитивный"
22,"Счёт пришёл с ошибкой в ФИО.","жалоба","Негативный"
23,"Заказ обработан быстро, всё чётко.","отзыв","Нейтральный"
24,"Можно ли оплатить заказ при получении?","обращение","Нейтральный"
25,"В приложении не работает кнопка «Оплатить».","жалоба","Негативный"
26,"Спасибо за подарок к заказу!","отзыв","Позитивный"
27,"Срок годности на товаре истёк.","жалоба","Негативный"
28,"Товар упакован аккуратно, без повреждений.","отзыв","Нейтральный"
29,"Как отключить автопродление подписки?","обращение","Нейтральный"
30,"Оператор грубо ответил на звонок.","жалоба","Негативный"
31,"Быстро, удобно, без лишних вопросов.","отзыв","Позитивный"
32,"Возврат средств занял 21 день.","жалоба","Негативный"
33,"Товар соответствует ожиданиям.","отзыв","Нейтральный"
34,"Где найти договор оферты?","обращение","Нейтральный"
35,"На сайте не обновляется статус заказа.","жалоба","Негативный"
36,"Радует качество сборки.","отзыв","Позитивный"
37,"В посылке не хватает одного товара.","жалоба","Негативный"
38,"Доставка в выходной день — большой плюс.","отзыв","Позитивный"
39,"Можно ли изменить адрес доставки после оплаты?","обращение","Нейтральный"
40,"Счёт за услугу выставлен дважды.","жалоба","Негативный"
41,"Всё понравилось! Буду заказывать ещё.","отзыв","Позитивный"
42,"Техподдержка не отвечает на email.","жалоба","Негативный"
43,"Заказ пришёл в указанные сроки.","отзыв","Нейтральный"
44,"Как подключить двухфакторную аутентификацию?","обращение","Нейтральный"
45,"Товар бракованный — люфтит крепление.","жалоба","Негативный"
46,"Спасибо за оперативное решение вопроса!","отзыв","Позитивный"
47,"В личном кабинете отображается неверный баланс.","жалоба","Негативный"
48,"Качество на уровне, за такие деньги — отлично.","отзыв","Позитивный"
49,"Где скачать мобильное приложение?","обращение","Нейтральный"
50,"Курьер бросил посылку в почтовый ящик без звонка.","жалоба","Негативный"
51,"Удобная упаковка, ничего не рассыпалось.","отзыв","Нейтральный"
52,"Срок доставки превышен на 5 дней.","жалоба","Негативный"
53,"Товар оправдал ожидания.","отзыв","Нейтральный"
54,"Как оформить возврат товара?","обращение","Нейтральный"
55,"Цена в акции не применилась автоматически.","жалоба","Негативный"
56,"Отличный продавец, всё объяснил.","отзыв","Позитивный"
57,"Не пришло уведомление о готовности заказа.","жалоба","Негативный"
58,"Быстрая отправка, всё чётко.","отзыв","Позитивный"
59,"Можно ли получить чек в электронном виде?","обращение","Нейтральный"
60,"Обещали подарок — не положили.","жалоба","Негативный"
61,"Спасибо за честность и прозрачность!","отзыв","Позитивный"
62,"В приложении зависает экран оплаты.","жалоба","Негативный"
63,"Товар новый, в заводской упаковке.","отзыв","Нейтральный"
64,"Как узнать статус обращения в техподдержку?","обращение","Нейтральный"
65,"На чеке нет наименования организации.","жалоба","Негативный"
66,"Рекомендую этот товар друзьям.","отзыв","Позитивный"
67,"Доставка опоздала на два дня без уведомления.","жалоба","Негативный"
68,"Всё работает стабильно, нареканий нет.","отзыв","Нейтральный"
69,"Где найти инструкцию по настройке?","обращение","Нейтральный"
70,"Товар не соответствует описанию на сайте.","жалоба","Негативный"
71,"Приятно удивлён качеством.","отзыв","Позитивный"
72,"В личном кабинете дважды списали деньги.","жалоба","Негативный"
73,"Доставка в срок, курьер вежливый.","отзыв","Позитивный"
74,"Можно ли оплатить банковской картой через сайт?","обращение","Нейтральный"
75,"Обещанная скидка 10% не применилась.","жалоба","Негативный"
76,"Спасибо за заботу о клиентах!","отзыв","Позитивный"
77,"Посылка пришла вскрытой.","жалоба","Негативный"
78,"Товар удобный в использовании.","отзыв","Позитивный"
79,"Как изменить тарифный план?","обращение","Нейтральный"
80,"Оператор не смог решить вопрос, перекладывал.","жалоба","Негативный"
81,"Хорошее решение за свои деньги.","отзыв","Позитивный"
82,"Не пришёл код подтверждения по SMS.","жалоба","Негативный"
83,"Заказ собран аккуратно, без ошибок.","отзыв","Нейтральный"
84,"Где посмотреть условия доставки?","обращение","Нейтральный"
85,"Товар повреждён при транспортировке.","жалоба","Негативный"
86,"Спасибо за оперативную доставку!","отзыв","Позитивный"
87,"В чеке дата не соответствует дню покупки.","жалоба","Негативный"
88,"Всё как на фото, без сюрпризов.","отзыв","Нейтральный"
89,"Как подключить услугу «Родительский контроль»?","обращение","Нейтральный"
90,"Курьер пришёл пьяным и грубил.","жалоба","Негативный"
91,"Отлично подошёл под мои задачи.","отзыв","Позитивный"
92,"Сайт не принимает промокод.","жалоба","Негативный"
93,"Товар лёгкий, удобный, функциональный.","отзыв","Позитивный"
94,"Можно ли вернуть товар без чека?","обращение","Нейтральный"
95,"Обещали доставку за 3 дня — привезли через 8.","жалоба","Негативный"
96,"Рад, что выбрал именно этот магазин.","отзыв","Позитивный"
97,"В приложении не обновляются бонусные баллы.","жалоба","Негативный"
98,"Всё чётко, без лишних слов.","отзыв","Нейтральный"
99,"Как оформить подписку на новости?","обращение","Нейтральный"
100,"Товар — копия, не оригинал.","жалоба","Негативный"
101,"Спасибо за честность и профессионализм!","отзыв","Позитивный"
102,"В чеке неверная сумма НДС.","жалоба","Негативный"
103,"Пользуюсь уже месяц — полёт нормальный.","отзыв","Нейтральный"
104,"Где найти контакты менеджера?","обращение","Нейтральный"
105,"Заказ пришёл, но без подарка по акции.","жалоба","Негативный"
106,"Товар превзошёл ожидания.","отзыв","Позитивный"
107,"На сайте не работает фильтр по цене.","жалоба","Негативный"
108,"Всё быстро, удобно, рекомендую.","отзыв","Позитивный"
109,"Можно ли оплатить частями?","обращение","Нейтральный"
110,"Курьер не дождался, оставил посылку у соседей.","жалоба","Негативный"
111,"Качество сборки на высоте.","отзыв","Позитивный"
112,"Не пришло письмо с инструкцией.","жалоба","Негативный"
113,"Товар соответствует цене.","отзыв","Нейтральный"
114,"Как отменить заказ до отправки?","обращение","Нейтральный"
115,"В описании указано «водонепроницаемый», а вода попала внутрь.","жалоба","Негативный"
116,"Спасибо за внимание к деталям!","отзыв","Позитивный"
117,"В личном кабинете не отображается история покупок.","жалоба","Негативный"
118,"Удобный интерфейс, всё интуитивно.","отзыв","Позитивный"
119,"Где посмотреть срок действия купона?","обращение","Нейтральный"
120,"Товар пришёл с царапинами.","жалоба","Негативный"
121,"Быстро, надёжно, без проблем.","отзыв","Позитивный"
122,"Обещали звонок менеджера — не дождался.","жалоба","Негативный"
123,"Всё как в описании, без обмана.","отзыв","Нейтральный"
124,"Как подключить услугу «Безлимитный интернет»?","обращение","Нейтральный"
125,"На сайте цена 999, в корзине — 1299.","жалоба","Негативный"
126,"Спасибо за заботу и своевременную доставку!","отзыв","Позитивный"
127,"В посылке лежал чужой товар.","жалоба","Негативный"
128,"Товар лёгкий, компактный, удобный.","отзыв","Позитивный"
129,"Можно ли получить счёт для организации?","обращение","Нейтральный"
130,"Курьер опоздал на 2 часа без предупреждения.","жалоба","Негативный"
131,"Хороший выбор, быстрая доставка.","отзыв","Позитивный"
132,"В приложении не работает сканер QR-кода.","жалоба","Негативный"
133,"Заказ пришёл в целости, всё на месте.","отзыв","Нейтральный"
134,"Как изменить email в профиле?","обращение","Нейтральный"
135,"Товар не включается после зарядки.","жалоба","Негативный"
136,"Спасибо за оперативность и вежливость!","отзыв","Позитивный"
137,"Срок действия подарочного сертификата не указан.","жалоба","Негативный"
138,"Всё работает стабильно, нареканий нет.","отзыв","Нейтральный"
139,"Где найти отзывы других покупателей?","обращение","Нейтральный"
140,"Товар оказался меньше, чем на фото.","жалоба","Негативный"
141,"Отличное соотношение цена/качество.","отзыв","Позитивный"
142,"Не пришло уведомление о скидке по почте.","жалоба","Негативный"
143,"Доставка в срок, упаковка надёжная.","отзыв","Позитивный"
144,"Можно ли оплатить через Apple Pay?","обращение","Нейтральный"
145,"В описании указано «в комплекте 3 шт.», пришло 2.","жалоба","Негативный"
146,"Спасибо за честность и открытость!","отзыв","Позитивный"
147,"В личном кабинете не обновляется статус заказа.","жалоба","Негативный"
148,"Товар удобный, функциональный, надёжный.","отзыв","Позитивный"
149,"Как подключить автоматическую оплату?","обращение","Нейтральный"
150,"Курьер не позвонил перед доставкой.","жалоба","Негативный"
151,"Рад, что не пожалел денег на этот товар.","отзыв","Позитивный"
152,"На сайте не работает кнопка «В корзину».","жалоба","Негативный"
153,"Всё чётко, без задержек.","отзыв","Нейтральный"
154,"Где посмотреть условия возврата?","обращение","Нейтральный"
155,"Товар — подделка, запах пластмассы.","жалоба","Негативный"
156,"Спасибо за профессионализм и внимание!","отзыв","Позитивный"
157,"В чеке неверное наименование товара.","жалоба","Негативный"
158,"Пользуюсь две недели — всё отлично.","отзыв","Нейтральный"
159,"Как связаться с юридическим отделом?","обращение","Нейтральный"
160,"Обещали экспресс-доставку — привезли через 5 дней.","жалоба","Негативный"
161,"Товар полностью соответствует описанию.","отзыв","Нейтральный"
162,"В приложении не сохраняются настройки.","жалоба","Негативный"
163,"Всё быстро, качественно, рекомендую.","отзыв","Позитивный"
164,"Можно ли оформить заказ без регистрации?","обращение","Нейтральный"
165,"Товар пришёл с вмятиной на корпусе.","жалоба","Негативный"
166,"Спасибо за заботу и отличный сервис!","отзыв","Позитивный"
167,"На сайте не отображаются акции.","жалоба","Негативный"
168,"Удобный, практичный, надёжный товар.","отзыв","Позитивный"
169,"Как отключить SMS-информирование?","обращение","Нейтральный"
170,"Курьер вёл себя вызывающе.","жалоба","Негативный"
171,"Хорошо работает, соответствует цене.","отзыв","Нейтральный"
172,"Не пришло письмо с подтверждением заказа.","жалоба","Негативный"
173,"Товар новый, без следов использования.","отзыв","Нейтральный"
174,"Где найти номер договора?","обращение","Нейтральный"
175,"Товар не держит заряд — разряжается за час.","жалоба","Негативный"
176,"Спасибо за оперативность и качество!","отзыв","Позитивный"
177,"В личном кабинете дважды начислили бонусы.","жалоба","Негативный"
178,"Всё как на сайте, без сюрпризов.","отзыв","Нейтральный"
179,"Как подключить услугу «Мобильный банк»?","обращение","Нейтральный"
180,"Товар пришёл с трещиной.","жалоба","Негативный"
181,"Отличный выбор для повседневного использования.","отзыв","Позитивный"
182,"Сайт завис при оплате — деньги списались дважды.","жалоба","Негативный"
183,"Доставка вовремя, курьер вежливый.","отзыв","Позитивный"
184,"Можно ли получить детализацию расходов?","обращение","Нейтральный"
185,"В описании указано «12 месяцев гарантии», в гарантийном талоне — 6.","жалоба","Негативный"
186,"Спасибо за честность и надёжность!","отзыв","Позитивный"
187,"В приложении не работает поиск по каталогу.","жалоба","Негативный"
188,"Товар соответствует ожиданиям.","отзыв","Нейтральный"
189,"Как оформить возврат денежных средств?","обращение","Нейтральный"
190,"Курьер бросил посылку в дверь и уехал.","жалоба","Негативный"
191,"Удобный, компактный, функциональный.","отзыв","Позитивный"
192,"Не пришёл код активации по email.","жалоба","Негативный"
193,"Всё чётко, без лишних вопросов.","отзыв","Нейтральный"
194,"Где найти форму для обращения в поддержку?","обращение","Нейтральный"
195,"Товар не соответствует сертификату.","жалоба","Негативный"
196,"Спасибо за внимание и заботу!","отзыв","Позитивный"
197,"В чеке неверная дата.","жалоба","Негативный"
198,"Пользуюсь три недели — полёт нормальный.","отзыв","Нейтральный"
199,"Как отключить автопродление?","обращение","Нейтральный"
200,"Товар — явная подделка, логотип не совпадает.","жалоба","Негативный"